datetime,open,high,low,close,volume
2025-09-29 16:00:00,1.173433542251587,1.1735711097717285,1.1724703311920166,1.1730204820632935,0
2025-09-29 20:00:00,1.1730204820632935,1.1735711097717285,1.1727453470230103,1.173433542251587,0
2025-09-30 00:00:00,1.1730204820632935,1.1735711097717285,1.1716461181640625,1.1727453470230103,0
2025-09-30 04:00:00,1.1727453470230103,1.1750881671905518,1.172195553779602,1.1745359897613525,0
2025-09-30 08:00:00,1.1746740341186523,1.1761938333511353,1.1739845275878906,1.1745359897613525,0
2025-09-30 12:00:00,1.1746740341186523,1.175364375114441,1.17205810546875,1.17384672164917,0
2025-09-30 16:00:00,1.17384672164917,1.1764705181121826,1.17384672164917,1.1742602586746216,0
2025-09-30 20:00:00,1.1742602586746216,1.1745359897613525,1.173433542251587,1.17384672164917,0
2025-10-01 00:00:00,1.1737089157104492,1.1743981838226318,1.1732958555221558,1.1741223335266113,0
2025-10-01 04:00:00,1.1741223335266113,1.1781338453292847,1.1741223335266113,1.175364375114441,0
2025-10-01 08:00:00,1.1755025386810303,1.176885962486267,1.17205810546875,1.1737089157104492,0
2025-10-01 12:00:00,1.1737089157104492,1.176885962486267,1.1726078987121582,1.1726078987121582,0
2025-10-01 16:00:00,1.172195553779602,1.1745359897613525,1.1719207763671875,1.173433542251587,0
2025-10-01 20:00:00,1.173433542251587,1.1741223335266113,1.172195553779602,1.1735711097717285,0
2025-10-02 00:00:00,1.1735711097717285,1.1745359897613525,1.1727453470230103,1.17384672164917,0
2025-10-02 04:00:00,1.17384672164917,1.1760554313659668,1.1732958555221558,1.175364375114441,0
2025-10-02 08:00:00,1.175364375114441,1.1761938333511353,1.1749500036239624,1.1755025386810303,0
2025-10-02 12:00:00,1.175364375114441,1.1761938333511353,1.168770432472229,1.1700011491775513,0
2025-10-02 16:00:00,1.1700011491775513,1.1728830337524414,1.1700011491775513,1.172195553779602,0
2025-10-02 20:00:00,1.17205810546875,1.1728830337524414,1.1716461181640625,1.1727453470230103,0
2025-10-03 00:00:00,1.1727453470230103,1.1732958555221558,1.17205810546875,1.1730204820632935,0
2025-10-03 04:00:00,1.1730204820632935,1.1737089157104492,1.1719207763671875,1.173433542251587,0
2025-10-03 08:00:00,1.1737089157104492,1.1748120784759521,1.1735711097717285,1.1737089157104492,0
2025-10-03 12:00:00,1.1739845275878906,1.1761938333511353,1.1732958555221558,1.1749500036239624,0
2025-10-03 16:00:00,1.1749500036239624,1.1750881671905518,1.1731581687927246,1.1743981838226318,0
2025-10-03 20:00:00,1.1745359897613525,1.1748120784759521,1.1742602586746216,1.1743981838226318,0
2025-10-05 20:00:00,1.1719207763671875,1.1719207763671875,1.1710972785949707,1.1715089082717896,0
2025-10-06 00:00:00,1.1715089082717896,1.173433542251587,1.1713716983795166,1.1727453470230103,0
2025-10-06 04:00:00,1.1728830337524414,1.1730204820632935,1.1667250394821167,1.1667250394821167,0
2025-10-06 08:00:00,1.1665889024734497,1.1682243347167969,1.1656370162963867,1.1678149700164795,0
2025-10-06 12:00:00,1.1678149700164795,1.172195553779602,1.1678149700164795,1.1709601879119873,0
2025-10-06 16:00:00,1.1712344884872437,1.17205810546875,1.1706860065460205,1.1715089082717896,0
2025-10-06 20:00:00,1.1713716983795166,1.17205810546875,1.1712344884872437,1.1713716983795166,0
2025-10-07 00:00:00,1.1712344884872437,1.1713716983795166,1.1700011491775513,1.1706860065460205,0
2025-10-07 04:00:00,1.1706860065460205,1.1710972785949707,1.1674060821533203,1.1679514646530151,0
2025-10-07 08:00:00,1.1679514646530151,1.1684973239898682,1.1659088134765625,1.1665889024734497,0
2025-10-07 12:00:00,1.1667250394821167,1.1682243347167969,1.1657729148864746,1.1676785945892334,0
2025-10-07 16:00:00,1.1676785945892334,1.1683608293533325,1.1652295589447021,1.1653653383255005,0
2025-10-07 20:00:00,1.1653653383255005,1.1664528846740723,1.1652295589447021,1.1656370162963867,0
2025-10-08 00:00:00,1.1655012369155884,1.1655012369155884,1.1621150970458984,1.1627906560897827,0
2025-10-08 04:00:00,1.1627906560897827,1.1637378931045532,1.161170482635498,1.1634671688079834,0
2025-10-08 08:00:00,1.1633317470550537,1.163873314857483,1.1610356569290161,1.1629259586334229,0
2025-10-08 12:00:00,1.1629259586334229,1.164686679840088,1.1606314182281494,1.1609008312225342,0
2025-10-08 16:00:00,1.1609008312225342,1.163061261177063,1.1602274179458618,1.163061261177063,0
2025-10-08 20:00:00,1.1631964445114136,1.163873314857483,1.1629259586334229,1.1633317470550537,0
2025-10-09 00:00:00,1.1633317470550537,1.1650937795639038,1.1633317470550537,1.1648223400115967,0
2025-10-09 04:00:00,1.1648223400115967,1.1650937795639038,1.1610356569290161,1.161440134048462,0
2025-10-09 08:00:00,1.161440134048462,1.163061261177063,1.1607661247253418,1.1615750789642334,0
2025-10-09 12:00:00,1.1617100238800049,1.16225004196167,1.1551345586776733,1.1560693979263306,0
2025-10-09 16:00:00,1.156336784362793,1.1568717956542969,1.1548677682876587,1.156336784362793,0
2025-10-09 20:00:00,1.156336784362793,1.1574074029922485,1.1559356451034546,1.1568717956542969,0
2025-10-10 00:00:00,1.1570056676864624,1.1576753854751587,1.1564704179763794,1.1576753854751587,0
2025-10-10 04:00:00,1.1576753854751587,1.1582117080688477,1.1564704179763794,1.1582117080688477,0
2025-10-10 08:00:00,1.158077597618103,1.159151554107666,1.1566041707992554,1.1566041707992554,0
2025-10-10 12:00:00,1.156738042831421,1.1633317470550537,1.156336784362793,1.161440134048462,0
2025-10-10 16:00:00,1.1619800329208374,1.1627906560897827,1.160092830657959,1.1615750789642334,0
2025-10-10 20:00:00,1.1615750789642334,1.1631964445114136,1.1609008312225342,1.163061261177063,0
2025-10-12 20:00:00,1.1606314182281494,1.16130530834198,1.160496711730957,1.160496711730957,0
2025-10-13 00:00:00,1.160496711730957,1.163061261177063,1.1603620052337646,1.1623852252960205,0
2025-10-13 04:00:00,1.1623852252960205,1.1633317470550537,1.1603620052337646,1.1603620052337646,0
2025-10-13 08:00:00,1.1603620052337646,1.1606314182281494,1.1568717956542969,1.1570056676864624,0
2025-10-13 12:00:00,1.157273530960083,1.1579434871673584,1.156203031539917,1.1578094959259033,0
2025-10-13 16:00:00,1.1578094959259033,1.158077597618103,1.1570056676864624,1.1570056676864624,0
2025-10-13 20:00:00,1.1570056676864624,1.1582117080688477,1.156738042831421,1.1568717956542969,0
2025-10-14 00:00:00,1.1570056676864624,1.1584800481796265,1.1559356451034546,1.1582117080688477,0
2025-10-14 04:00:00,1.1582117080688477,1.15968918800354,1.1547343730926514,1.1552680730819702,0
2025-10-14 08:00:00,1.155001163482666,1.1566041707992554,1.155001163482666,1.1555349826812744,0
2025-10-14 12:00:00,1.1559356451034546,1.161170482635498,1.1552680730819702,1.161170482635498,0
2025-10-14 16:00:00,1.161170482635498,1.1618449687957764,1.160496711730957,1.1609008312225342,0
2025-10-14 20:00:00,1.1610356569290161,1.1615750789642334,1.1603620052337646,1.1606314182281494,0
2025-10-15 00:00:00,1.1606314182281494,1.1629259586334229,1.1606314182281494,1.162520408630371,0
2025-10-15 04:00:00,1.1626555919647217,1.164686679840088,1.1621150970458984,1.163873314857483,0
2025-10-15 08:00:00,1.1640088558197021,1.1648223400115967,1.1623852252960205,1.1623852252960205,0
2025-10-15 12:00:00,1.16225004196167,1.1648223400115967,1.161440134048462,1.1640088558197021,0
2025-10-15 16:00:00,1.163873314857483,1.1648223400115967,1.163061261177063,1.1648223400115967,0
2025-10-15 20:00:00,1.1648223400115967,1.1659088134765625,1.164686679840088,1.164958119392395,0
2025-10-16 00:00:00,1.1648223400115967,1.1678149700164795,1.164686679840088,1.1665889024734497,0
2025-10-16 04:00:00,1.1664528846740723,1.1669973134994507,1.1648223400115967,1.1655012369155884,0
2025-10-16 08:00:00,1.1653653383255005,1.1665889024734497,1.1650937795639038,1.1656370162963867,0
2025-10-16 12:00:00,1.1656370162963867,1.1682243347167969,1.1653653383255005,1.1668611764907837,0
2025-10-16 16:00:00,1.1671334505081177,1.1697274446487427,1.1669973134994507,1.1693171262741089,0
2025-10-16 20:00:00,1.1691803932189941,1.1702749729156494,1.1680878400802612,1.1702749729156494,0
2025-10-17 00:00:00,1.1702749729156494,1.1715089082717896,1.169864296913147,1.1712344884872437,0
2025-10-17 04:00:00,1.1713716983795166,1.1730204820632935,1.1700011491775513,1.1715089082717896,0
2025-10-17 08:00:00,1.171783447265625,1.1719207763671875,1.1684973239898682,1.168770432472229,0
2025-10-17 12:00:00,1.168770432472229,1.168770432472229,1.16604483127594,1.1675423383712769,0
2025-10-17 16:00:00,1.1674060821533203,1.1682243347167969,1.1668611764907837,1.1674060821533203,0
